"amount","treatment"
0,0
0,0
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,0
0,0
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,0
0,0
0,1
0,1
0,0
0,0
0,1
0,1
0,1
0,0
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,1
0,0
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,0
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,0
0,0
0,1
0,0
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,0
0,1
0,1
0,1
25,1
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
100,1
0,1
0,0
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,1
0,0
0,1
0,1
0,1
0,1
20,1
0,1
0,1
0,0
0,0
0,1
0,1
0,0
0,1
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,0
0,0
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,0
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,0
0,1
0,0
0,0
0,1
0,1
0,1
30,1
0,1
0,0
0,0
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,1
0,1
0,1
0,0
0,0
0,1
0,1
0,0
