"re78","treatment"
9930.05,1
3595.89,1
24909.5,1
7506.15,1
289.79,1
4056.49,1
0,1
8472.16,1
2164.02,1
12418.1,1
8173.91,1
17094.6,1
0,1
18739.9,1
3023.88,1
3228.5,1
14581.9,1
7693.4,1
10804.3,1
10747.4,1
0,1
5149.5,1
6408.95,1
1991.4,1
11163.2,1
9643,1
9897.05,1
11142.9,1
16218,1
995.7,1
0,1
6551.59,1
1574.42,1
0,1
3191.75,1
20505.9,1
6181.88,1
5911.55,1
3094.16,1
0,1
1254.58,1
13188.8,1
8061.49,1
2787.96,1
3972.54,1
0,1
0,1
0,1
12187.4,1
4843.18,1
0,1
8087.49,1
0,1
2348.97,1
590.782,1
0,1
1067.51,1
7284.99,1
13167.5,1
1048.43,1
0,1
1923.94,1
4666.24,1
549.298,1
762.915,1
10694.3,1
0,1
0,1
8546.72,1
7479.66,1
0,1
647.205,1
0,1
11965.8,1
9598.54,1
18783.4,1
18678.1,1
0,1
23005.6,1
6456.7,1
0,1
2321.11,1
4941.85,1
0,1
0,1
0,1
3881.28,1
17231,1
8048.6,1
0,1
14509.9,1
0,1
0,1
9983.78,1
0,1
5587.5,1
4482.85,1
2456.15,1
0,1
26817.6,1
0,1
9265.79,1
485.23,1
4814.63,1
7458.11,1
0,1
34099.3,1
1953.27,1
0,1
0,1
8881.67,1
6210.67,1
0,1
929.884,1
0,1
12558,1
22163.3,1
1652.64,1
8124.72,1
671.332,1
17815,1
9737.15,1
17685.2,1
0,1
4321.71,1
1773.42,1
0,1
11233.3,1
559.443,1
1085.44,1
5445.2,1
60307.9,1
1460.36,1
6943.34,1
4032.71,1
10363.3,1
4232.31,1
11141.4,1
0,1
13385.9,1
4849.56,1
0,1
1660.51,1
0,1
2484.55,1
4146.6,1
9970.68,1
0,1
26372.3,1
5615.19,1
3196.57,1
6167.68,1
7535.94,1
8484.24,1
1294.41,1
0,1
5010.34,1
9371.04,1
0,1
4279.61,1
3462.56,1
7382.55,1
0,1
0,1
10976.5,1
13829.6,1
6788.46,1
9558.5,1
13228.3,1
743.667,1
5522.79,1
1424.94,1
1358.64,1
0,1
672.877,1
0,1
10092.8,1
6281.43,1
12590.7,1
5112.01,1
15952.6,1
36647,1
12804,1
3786.63,1
4181.94,1
0,0
12383.7,0
0,0
10740.1,0
11796.5,0
9227.05,0
10569.3,0
6040.34,0
3880.83,0
0,0
5775.06,0
0,0
0,0
0,0
0,0
2113.72,0
7618.64,0
9920.95,0
4196.38,0
0,0
16658.3,0
9722,0
3783.66,0
3515.93,0
17014.6,0
0,0
0,0
5970.26,0
1859.17,0
6191.94,0
7284.39,0
445.831,0
0,0
0,0
7367.04,0
0,0
2015.5,0
15791.1,0
1135.47,0
6378.72,0
7176.19,0
0,0
7952.54,0
0,0
7152.13,0
8329.82,0
0,0
12429.9,0
0,0
5088.76,0
4374.04,0
1553.29,0
0,0
1698.3,0
0,0
11294.6,0
0,0
14626.4,0
12898.4,0
5767.13,0
6527.92,0
3931.24,0
20942.2,0
0,0
0,0
14690.4,0
0,0
3418.1,0
11197.3,0
0,0
0,0
0,0
1455.69,0
1890.94,0
4485.62,0
13613.4,0
1390.51,0
5843.8,0
8598.52,0
2920.2,0
0,0
6735.32,0
0,0
0,0
0,0
44.7555,0
0,0
0,0
3701.81,0
6930.34,0
3795.8,0
5193.25,0
2193.53,0
11120.5,0
7609.52,0
2169.03,0
0,0
1264.23,0
0,0
0,0
0,0
0,0
5712.64,0
0,0
0,0
0,0
1184.88,0
10225.9,0
0,0
4715.37,0
289.79,0
0,0
8190.42,0
4813.05,0
7344.68,0
0,0
0,0
0,0
0,0
4350.91,0
7812.52,0
0,0
3644.66,0
4844.8,0
0,0
0,0
0,0
14792.9,0
0,0
0,0
3746.7,0
1568.15,0
7010.44,0
3811.68,0
10798.6,0
4657.27,0
8551.53,0
4309.88,0
5286.4,0
12486.2,0
10877.4,0
202.285,0
2657.71,0
4132.58,0
11303.1,0
0,0
0,0
0,0
2189.43,0
0,0
10211,0
11048.1,0
0,0
8993.87,0
5071.8,0
3194.01,0
0,0
5193.09,0
0,0
275.566,0
3590.7,0
0,0
12797.7,0
2035.91,0
2389.68,0
0,0
8469.28,0
0,0
1143.39,0
5114.81,0
781.224,0
3343.22,0
9602.44,0
0,0
16461.6,0
6771.62,0
0,0
11011.6,0
0,0
0,0
0,0
4251.13,0
2891.67,0
5514.37,0
4858.9,0
4812.58,0
0,0
604.199,0
14527.9,0
0,0
7300.5,0
0,0
4159.92,0
0,0
5497.59,0
0,0
0,0
0,0
16477,0
0,0
39483.5,0
11306.3,0
6672.02,0
9378.65,0
5088.99,0
2639.29,0
9495.9,0
20893.1,0
0,0
10361.7,0
1740.2,0
0,0
0,0
6354.19,0
7171,0
5573.55,0
439.688,0
16970,0
5344.02,0
2725.32,0
9772.28,0
0,0
0,0
1720.91,0
0,0
18859.9,0
1324.54,0
284.658,0
11195.9,0
0,0
0,0
7565.27,0
0,0
0,0
0,0
4974.59,0
12780,0
3523.58,0
0,0
10274.8,0
4779.72,0
16988.2,0
499.257,0
3083.58,0
3708.72,0
7659.22,0
20857.8,0
7078.18,0
0,0
1239.84,0
3982.8,0
0,0
0,0
7094.92,0
12359.3,0
0,0
0,0
16900.3,0
7343.96,0
5448.8,0
